Date,Open,High,Low,Close,Adj Close,Volume
1976-03-22,6.489697,6.567886,6.489697,6.505334,1.610082,604304
1976-03-23,6.505334,6.614799,6.458421,6.614799,1.637176,668252
1976-03-24,6.646075,6.786815,6.646075,6.771177,1.675880,1245378
1976-03-25,6.771177,6.771177,6.646075,6.708626,1.660398,1024759
1976-03-26,6.708626,6.739902,6.646075,6.692988,1.656528,452429
1976-03-29,6.692988,6.755540,6.552248,6.599161,1.633306,613097
1976-03-30,6.599161,6.630437,6.536610,6.567886,1.625564,562738
1976-03-31,6.567886,6.677350,6.505334,6.567886,1.625564,589916
1976-04-01,6.567886,6.646075,6.505334,6.552248,1.621694,509981
1976-04-02,6.520972,6.520972,6.411507,6.520972,1.613953,405267
1976-04-05,6.520972,6.630437,6.489697,6.630437,1.641046,874482
1976-04-06,6.630437,6.661713,6.520972,6.567886,1.625564,786554
1976-04-07,6.567886,6.599161,6.474059,6.505334,1.610082,991986
1976-04-08,6.505334,6.552248,6.442783,6.536610,1.617824,730600
1976-04-09,6.536610,6.661713,6.505334,6.614799,1.637176,804140
1976-04-12,6.614799,6.677350,6.552248,6.614799,1.637176,608301
1976-04-13,6.614799,6.614799,6.505334,6.614799,1.637176,764972
1976-04-14,6.599161,6.599161,6.489697,6.505334,1.610082,558741
1976-04-15,6.505334,6.552248,6.442783,6.520972,1.613953,807337
1976-04-19,6.520972,6.552248,6.489697,6.520972,1.613953,547551
1976-04-20,6.552248,6.739902,6.552248,6.724264,1.664269,1106292
1976-04-21,6.724264,6.849366,6.692988,6.833729,1.691363,1502767
1976-04-22,6.833729,7.005745,6.833729,6.865004,1.699102,1125476
1976-04-23,6.865004,6.880642,6.802453,6.880642,1.702971,642673
1976-04-26,6.849366,6.849366,6.724264,6.833729,1.691363,714614
1976-04-27,6.833729,6.865004,6.708626,6.739902,1.668139,641873
1976-04-28,6.739902,6.755540,6.661713,6.755540,1.672010,534761
1976-04-29,6.755540,6.818091,6.724264,6.724264,1.664269,743390
1976-04-30,6.724264,6.786815,6.708626,6.724264,1.664269,655462
1976-05-03,6.724264,6.755540,6.583523,6.630437,1.641046,457225
1976-05-04,6.630437,6.661713,6.536610,6.630437,1.641046,457225
1976-05-05,6.630437,6.630437,6.489697,6.489697,1.606214,441238
1976-05-06,6.489697,6.567886,6.474059,6.552248,1.621694,524370
1976-05-07,6.552248,6.583523,6.489697,6.536610,1.617824,493995
1976-05-10,6.552248,6.614799,6.552248,6.599161,1.633306,847305
1976-05-11,6.599161,6.646075,6.552248,6.583523,1.629435,1238983
1976-05-12,6.567886,6.567886,6.474059,6.505334,1.610082,752183
1976-05-13,6.505334,6.520972,6.458421,6.458421,1.598472,534761
1976-05-14,6.458421,6.458421,6.380232,6.380232,1.579120,563538
1976-05-17,6.380232,6.380232,6.255129,6.286405,1.555897,653064
1976-05-18,6.286405,6.348956,6.286405,6.348956,1.571380,723406
1976-05-19,6.348956,6.442783,6.348956,6.364594,1.575250,725804
1976-05-20,6.380232,6.442783,6.380232,6.442783,1.594601,481205
1976-05-21,6.442783,6.474059,6.380232,6.427145,1.590731,532363
1976-05-24,6.395870,6.395870,6.302043,6.317680,1.563639,669051
1976-05-25,6.317680,6.317680,6.239491,6.317680,1.563639,586718
1976-05-26,6.317680,6.364594,6.255129,6.270767,1.552027,710617
1976-05-27,6.270767,6.302043,6.239491,6.286405,1.555897,639475
1976-05-28,6.286405,6.395870,6.255129,6.364594,1.575250,715413
1976-06-01,6.364594,6.395870,6.333318,6.380232,1.579120,342119
1976-06-02,6.380232,6.536610,6.380232,6.505334,1.610082,458823
1976-06-03,6.520972,6.630437,6.520972,6.552248,1.621694,944825
1976-06-04,6.552248,6.567886,6.458421,6.474059,1.602343,808137
1976-06-07,6.474059,6.567886,6.458421,6.552248,1.621694,538758
1976-06-08,6.567886,6.630437,6.567886,6.567886,1.625564,740992
1976-06-09,6.567886,6.630437,6.552248,6.599161,1.633306,479606
1976-06-10,6.599161,6.661713,6.520972,6.630437,1.653585,1143861
1976-06-11,6.630437,6.708626,6.614799,6.692988,1.669185,1084710
1976-06-14,6.692988,6.927556,6.677350,6.880642,1.715984,861693
1976-06-15,6.880642,6.880642,6.802453,6.849366,1.708184,1284546
1976-06-16,6.849366,6.943193,6.818091,6.880642,1.715984,1656241
1976-06-17,6.880642,7.005745,6.865004,6.990107,1.743285,1271756
1976-06-18,7.021383,7.130847,7.021383,7.052658,1.758884,1434023
1976-06-21,7.052658,7.130847,7.021383,7.130847,1.778385,1014368
1976-06-22,7.130847,7.146485,7.068296,7.068296,1.762785,899262
1976-06-23,7.068296,7.083934,7.005745,7.052658,1.758884,857696
1976-06-24,7.052658,7.162123,7.052658,7.162123,1.786184,1050338
1976-06-25,7.162123,7.287226,7.162123,7.177761,1.790085,1085509
1976-06-28,7.177761,7.209036,7.068296,7.099572,1.770584,536360
1976-06-29,7.099572,7.209036,7.068296,7.146485,1.782284,547551
1976-06-30,7.146485,7.209036,7.130847,7.146485,1.782284,613896
1976-07-01,7.146485,7.255950,7.146485,7.162123,1.786184,721808
1976-07-02,7.162123,7.177761,7.146485,7.146485,1.782284,636278
1976-07-06,7.146485,7.193399,7.099572,7.146485,1.782284,640275
1976-07-07,7.146485,7.193399,7.130847,7.193399,1.793984,899262
1976-07-08,7.193399,7.271588,7.193399,7.224674,1.801784,589117
1976-07-09,7.224674,7.302863,7.209036,7.287226,1.817385,1156651
1976-07-12,7.287226,7.318501,7.193399,7.318501,1.825183,558741
1976-07-13,7.318501,7.412328,7.271588,7.302863,1.821284,926440
1976-07-14,7.302863,7.349777,7.271588,7.334139,1.829084,457225
1976-07-15,7.334139,7.349777,7.271588,7.287226,1.817385,577926
1976-07-16,7.287226,7.287226,7.224674,7.287226,1.817385,1037549
1976-07-19,7.271588,7.271588,7.209036,7.240312,1.805684,919246
1976-07-20,7.240312,7.271588,7.224674,7.224674,1.801784,708219
1976-07-21,7.224674,7.240312,7.130847,7.130847,1.778385,581922
1976-07-22,7.130847,7.177761,7.052658,7.068296,1.762785,1538737
1976-07-23,7.068296,7.162123,6.896280,6.911918,1.723784,992785
1976-07-26,6.911918,7.005745,6.911918,6.958831,1.735485,471613
1976-07-27,6.927556,6.927556,6.833729,6.865004,1.712085,695429
1976-07-28,6.833729,6.833729,6.739902,6.818091,1.700385,492396
1976-07-29,6.818091,6.896280,6.692988,6.739902,1.680886,366100
1976-07-30,6.739902,6.818091,6.661713,6.818091,1.700385,655462
1976-08-02,6.818091,6.849366,6.786815,6.849366,1.708184,464419
1976-08-03,6.849366,6.943193,6.849366,6.880642,1.715984,525169
1976-08-04,6.880642,6.943193,6.849366,6.849366,1.708184,721808
1976-08-05,6.865004,6.911918,6.865004,6.896280,1.719884,566735
1976-08-06,6.896280,6.911918,6.849366,6.880642,1.715984,293359
1976-08-09,6.880642,6.927556,6.849366,6.896280,1.719884,462021
1976-08-10,6.896280,6.990107,6.865004,6.990107,1.743285,357307
